EX,EM,69r0,69r2,69r8,69r32,69r128,69r512
640,"739,185","-3,237,783","-2,469,987","-1,235,948","-4,779,542","151,904","2,924,807"
640,"743,945","1,575,773","1,891,767","-1,727,179","-2,511,728","1,576,813","-782,064"
640,"748,706",134,"-1,754,213","-956,122","-79,589","639,372","4,305,413"
640,"753,468","-1,621,542","4,719","-2,763,793","-129,666","-4,229,375","-19,472"
640,"758,231","-688,062","-4,366,571","-286,085","-3,863,359","-5,035,184","314,798"
640,"762,995","-356,942","-2,906,457","-3,246,445","-526,437","-4,606,909","-866,532"
640,"767,761","6,292,238","3,859,584","1,947,284","5,771,448","1,425,815","4,902,739"
640,"772,527","-5,599,086","-4,555,229","-537,013","-537,882","-537,053","-5,773,992"
640,"777,294","6,536,999","2,197,587","2,016,925","292,202","931,518","2,199,114"
640,"782,062","1,116,901","-1,263,987","383,651","3,493,862","2,945,626","-2,905,674"
640,"786,831","2,836,256","-5,077,421","2,083,849","577,127","-1,119,272","114,206"
640,"791,601","192,072","2,461,228","-2,644,333","-1,319,554","2,818","-3,019,503"
640,"796,371","6,269,481","6,270,379","1,113,727","6,464,231","5,686,192","2,184,849"
640,"801,143","-128,789","831,277","-324,393","1,308,633","111,806","-1,086,646"
640,"805,915","2,431,876","5,546,152","6,624,605","3,030,154","4,587,166","2,671,165"
640,"810,688","855,233","1,932,683","2,651,798","1,813,025","361,054","4,088,196"
640,"815,461","375,298","1,692,074","493,625","255,119","4,328,718","973,864"
640,"820,236","-2,801,136","-4,595,873","-10,228,971","-4,357,302","-4,955,634","-7,710,348"
640,"825,011","1,689,331","11,287","-347,987","1,449,835","3,367,277","611,649"
630,"246,67",0,0,0,0,0,0
630,"251,159",0,0,0,0,0,0
630,"255,652",0,0,0,0,0,0
630,"260,149",0,0,0,0,0,0
630,"264,65",0,0,0,0,0,0
630,"269,154",0,0,0,0,0,0
630,"273,662",0,0,0,0,0,0
630,"278,174",0,0,0,0,0,0
630,"282,689",0,0,0,0,0,0
630,"287,208",0,0,0,0,0,0
630,"291,73",0,0,0,0,0,0
630,"296,256",0,0,0,0,0,0
630,"300,786",0,0,0,0,0,0
630,"305,319",0,0,0,0,0,0
630,"309,855",0,0,0,0,0,0
630,"314,395",0,0,0,0,0,0
630,"318,939",0,0,0,0,0,0
630,"323,486",0,0,0,0,0,0
630,"328,036",0,0,0,0,0,0
630,"332,59",0,0,0,0,0,0
630,"337,147",0,0,0,0,0,0
630,"341,708",0,0,0,0,0,0
630,"346,272",0,0,0,0,0,0
630,"350,839",0,0,0,0,0,0
630,"355,409",0,0,0,0,0,0
630,"359,983",0,0,0,0,0,0
630,"364,56",0,0,0,0,0,0
630,"369,14",0,0,0,0,0,0
630,"373,724",0,0,0,0,0,0
630,"378,31",0,0,0,0,0,0
630,"382,9",0,0,0,0,0,0
630,"387,493",0,0,0,0,0,0
630,"392,089",0,0,0,0,0,0
630,"396,689",0,0,0,0,0,0
630,"401,291",0,0,0,0,0,0
630,"405,896",0,0,0,0,0,0
630,"410,505",0,0,0,0,0,0
630,"415,116",0,0,0,0,0,0
630,"419,731",0,0,0,0,0,0
630,"424,348",0,0,0,0,0,0
630,"428,968",0,0,0,0,0,0
630,"433,592",0,0,0,0,0,0
630,"438,218",0,0,0,0,0,0
630,"442,847",0,0,0,0,0,0
630,"447,479",0,0,0,0,0,0
630,"452,114",0,0,0,0,0,0
